backend,eps,upsampfac,n_coils,shape,n_samples,dim,sense,task,run,run_time,mem_avg,mem_peak,cpu_avg,cpu_peak,gpu0_mem_GiB_avg,gpu0_mem_GiB_peak,gpu0_usage_avg,gpu0_usage_peak,coil_time,coil_mem
torchkbnufft-gpu,0.001,2.0,32,"(256, 256)",655296,2,False,forward,5,0.0689303370018024,1.0693490164620536,1.8732147216796875,18.02857142857143,126.2,1.0304129464285714,1.130859375,2.2857142857142856,4.0,0.002154073031306325,0.058537960052490234
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,7,0.0662249739980325,0.9900121883470184,1.791400909423828,4.236734693877551,130.8,0.7690130739795918,0.826171875,1.3877551020408163,3.0,0.005518747833169375,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,15,0.065814841989777,1.0046315109520627,1.791400909423828,3.642105263157895,130.8,0.7770353618421053,0.826171875,1.6140350877192982,3.0,0.005484570165814749,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,14,0.0659589790011523,1.0029451506478446,1.791400909423828,3.7071428571428577,130.8,0.7761579241071429,0.826171875,1.5892857142857142,3.0,0.005496581583429358,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,13,0.0660467220004648,1.0011974681507458,1.791400909423828,3.774545454545455,130.8,0.7752485795454546,0.826171875,1.5636363636363635,3.0,0.005503893500038733,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,12,0.0661026159941684,0.9994212256537544,1.791400909423828,3.844444444444445,130.8,0.7743055555555556,0.826171875,1.537037037037037,3.0,0.005508551332847367,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,11,0.0658013170032063,0.9975780271134288,1.791400909423828,3.916981132075472,130.8,0.7733269457547169,0.826171875,1.509433962264151,3.0,0.005483443083600524,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,10,0.0622728809976251,0.9957392032329851,1.791400909423828,3.992307692307693,130.8,0.7723106971153846,0.826171875,1.4807692307692308,3.0,0.005189406749802092,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,9,0.0661274330050218,0.9939050113453584,1.791400909423828,4.070588235294118,130.8,0.7712545955882353,0.826171875,1.4509803921568627,3.0,0.00551061941708515,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,8,0.071394787999452,0.991997528076172,1.791400909423828,4.152,130.8,0.77015625,0.826171875,1.42,3.0,0.005949565666620999,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,6,0.0665367530018556,0.98794420560201,1.791400909423828,4.325,130.8,0.767822265625,0.826171875,1.3541666666666667,3.0,0.0055447294168213005,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,adjoint,15,0.0449734720023116,0.9645231146561472,1.791400909423828,5.463157894736843,130.8,0.7586348684210527,0.767578125,1.1842105263157894,2.0,0.003747789333525967,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,5,0.065014424995752,0.9857882235912566,1.791400909423828,4.4170212765957455,130.8,0.7665807845744681,0.826171875,1.319148936170213,3.0,0.005417868749646,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,4,0.0653764070011675,0.983538586160411,1.791400909423828,4.51304347826087,130.8,0.7652853260869565,0.826171875,1.2826086956521738,3.0,0.005448033916763958,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,3,0.0623840379994362,0.9811890496148004,1.791400909423828,4.613333333333334,130.8,0.7639322916666667,0.826171875,1.2444444444444445,3.0,0.00519866983328635,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,2,0.0626121620007325,0.9788660569624468,1.791400909423828,4.718181818181819,130.8,0.7625177556818182,0.826171875,1.2045454545454546,3.0,0.005217680166727708,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,1,0.0618503060104558,0.9765714601028798,1.791400909423828,4.8279069767441865,130.8,0.7610374273255814,0.826171875,1.162790697674419,2.0,0.005154192167537983,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,0,0.0654827239923179,0.974307378133138,1.791400909423828,4.942857142857143,130.8,0.7594866071428571,0.767578125,1.1666666666666667,2.0,0.005456893666026492,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,adjoint,18,0.0434159380092751,0.971932853140482,1.791400909423828,5.063414634146342,130.8,0.7592892530487805,0.767578125,1.170731707317073,2.0,0.0036179948341062587,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,adjoint,17,0.0481895269913366,0.9695863723754884,1.791400909423828,5.19,130.8,0.75908203125,0.767578125,1.175,2.0,0.004015793915944717,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,16,0.0660962550027761,1.0062597866716056,1.791400909423828,3.5793103448275865,130.8,0.7778825431034483,0.826171875,1.637931034482759,3.0,0.005508021250231342,0.14928340911865232
torchkbnufft-gpu,0.001,2.0,12,"(256, 256)",655296,2,False,grad,17,0.0691729210084304,1.0078328666040453,1.791400909423828,3.5186440677966107,130.8,0.7787010063559322,0.826171875,1.6610169491525424,3.0,0.005764410084035866,0.14928340911865232
